licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
MAYDAY RESTORATION LLC,douglas,1,10249.42,8521.290252135022,11041.0,5007.6115,30475.399999999987,2026-04-01,2026-04-01
4027 Burt St,douglas,1,10000.0,9169.438789921891,11894.5,500.0,31739.599999999995,2026-03-31,2026-03-31
All-Star Exteriors,douglas,1,10000.0,8648.255497916003,8500.0,500.0,15223.659499999996,2025-12-22,2025-12-22
Alspach Roofing Inc,douglas,1,10000.0,8387.926998196623,7641.0,2975.0,18878.465,2026-03-09,2026-03-09
DAN JUNIOR CONSTRUCTION,douglas,1,10000.0,12630.882586990489,15293.0,8930.1,29513.25,2026-01-10,2026-01-10
EAGER SIDING COMPANY,douglas,1,10000.0,13368.355278557874,15421.5,8100.0,27000.0,2026-03-29,2026-03-29
ERIC ADAMS CONTRACTING LLC,douglas,1,10000.0,13717.329185885663,12668.5,3841.797,24816.737499999996,2025-12-12,2025-12-12
"MAXIM ENTERPRISES, LLC - DBA MAXIM HOMES",douglas,1,10000.0,12452.851977041355,16179.5,5791.35,40157.71049999998,2025-11-10,2025-11-10
N H EXTERIORS LLC,douglas,1,10000.0,9901.284252736756,10057.5,4775.0,17000.0,2026-03-18,2026-03-18
PREMIER EXTERIORS INC,douglas,1,10000.0,8936.963596516174,8600.0,5034.05,12983.599999999999,2026-02-11,2026-02-11
SANTA BARBARA,douglas,1,10000.0,10688.204217212991,12500.0,4727.5665,21279.605499999998,2026-04-03,2026-04-03
QUALITY HOME INSPECTIONS,douglas,1,9500.0,8159.523989269649,8376.0,5081.0135,26682.599999999984,2026-03-20,2026-03-20
"RAPTOR ROOFING, LLC",douglas,1,9283.58,10770.541504256083,14062.060000000001,9025.9885,28278.95,2026-02-10,2026-02-10
ABC ROOFS,douglas,1,9000.0,9906.897380602395,9093.395,5318.6025,25000.0,2025-11-03,2025-11-03
PACIFIC PARTNERS GROUP LLC,douglas,1,9000.0,12994.643774248263,19766.555,12429.142,40873.39999999998,2026-02-10,2026-02-10
Smart Roof Contracting LLC,douglas,1,8950.0,8708.288440727554,7947.785,2417.48,27506.99999999999,2026-03-20,2026-03-20
607 S 199th St,douglas,1,8500.0,14083.035550037937,18620.525,11868.9025,29513.25,2025-12-17,2025-12-17
PARAGON EXTERIORS,douglas,1,8253.0,8731.916204263209,10302.39,3420.0,20663.099999999995,2026-04-13,2026-04-13
D&M ROOFING INC,douglas,1,8173.0,11355.105969429,15540.09,6364.4775,25760.413499999995,2026-03-30,2026-03-30
3601 S 121st St,douglas,1,8000.0,8641.822244694564,9941.0,6372.8185,25477.54999999998,2026-04-10,2026-04-10
GOODLIFE EXTERIORS & CONTRACTING,douglas,1,8000.0,8645.179309324363,8880.5,2975.0,14842.199999999999,2026-03-12,2026-03-12
LONGVIEW RENOVATION,douglas,1,8000.0,7820.813788280078,4880.505,1160.0,11688.667,2025-11-04,2025-11-04
MATHAL CONSTRUCTION LLC,douglas,1,8000.0,7169.156124086456,6600.0,500.0,11050.065999999999,2026-02-18,2026-02-18
PAIZ CONSTRUCTION LLC,douglas,1,8000.0,8069.002157649593,7911.5,4796.087,14501.099999999999,2026-02-23,2026-02-23
SILVERFERN LLC,douglas,1,8000.0,9902.081245848023,12761.5,7814.25,21349.999999999996,2026-03-08,2026-03-08
TIMBER RIDGE ROOFING & EXTERIORS,douglas,1,8000.0,8968.37688320825,9440.5,5081.0135,25553.99999999998,2025-11-06,2025-11-06
"DYNASTY RESTORATION, INC.",douglas,1,7875.0,10889.895305866836,12261.5,7440.0,27960.799999999992,2025-12-19,2025-12-19
DONE RIGHT HOME IMPROVEMENT,douglas,1,7500.0,6799.838348132601,11477.0,4307.055,31233.049999999996,2026-03-03,2026-03-03
HUGHES CONSTRUCTION,douglas,1,7500.0,9348.879300702341,8714.34,4955.3,24675.5,2025-11-05,2025-11-05
M5 Exteriors LLC,douglas,1,7200.0,7117.915770293122,6250.0,2700.0,14391.976999999995,2026-02-25,2026-02-25
HI-GRADE EXTERIORS INC,douglas,1,7150.0,7767.255742152218,9835.0,6840.3185,25477.54999999998,2026-03-25,2026-03-25
J C CUSTOM BUILT,douglas,1,7000.0,6483.800041886437,8911.075,5026.95,12073.006999999998,2025-11-04,2025-11-04
BRADCO COMPANY DBA TOTAL ROOFING,douglas,1,6965.0,6804.57950973615,9966.5,4961.3,16399.149999999998,2026-02-04,2026-02-04
2107 John A Creighton Blvd,douglas,1,6082.0,6095.1886006755485,5988.0,1138.0,10242.485999999997,2026-02-03,2026-02-03
COALITION RESTORATION CONTRACTORS,douglas,1,6000.0,6881.80807866676,7600.0,4775.0,17401.6815,2025-11-17,2025-11-17
U&S REMODELING,douglas,1,6000.0,6466.719529246124,9395.095000000001,4815.6575,30334.8,2026-04-13,2026-04-13
"THOMPSON'S HOME IMPROVEMENT, INC.",douglas,1,5800.0,5770.116836918545,6500.0,3220.0,31650.59999999999,2026-03-13,2026-03-13
